Stock Name,Price,Country,Sector,Market Cap,Debt Status,Last 6 Months Return (%),Last 1 Year Return (%)
Stock_1,3572.19,China,Technology,Large Cap,Debt,-8.96,-15.94
Stock_2,765.57,Japan,Consumer Goods,Mid Cap,Debt,25.17,-31.36
Stock_3,4959.34,India,Energy,Mid Cap,Debt,-9.69,55.29
Stock_4,2733.0,India,Energy,Mid Cap,Debt,12.48,29.74
Stock_5,2812.14,Japan,Consumer Goods,Mid Cap,Debt,-2.92,21.45
Stock_6,2985.14,USA,Finance,Mid Cap,Debt,-29.86,14.9
Stock_7,4561.0,India,Consumer Goods,Small Cap,Debt,15.45,31.47
Stock_8,3218.56,USA,Consumer Goods,Mid Cap,Debt,21.0,-21.07
Stock_9,1157.15,China,Consumer Goods,Mid Cap,Debt,-12.95,29.89
Stock_10,4716.42,India,Technology,Large Cap,Debt Free,-19.22,15.13
Stock_11,4448.14,India,Technology,Small Cap,Debt Free,11.39,61.83
Stock_12,3444.15,India,Technology,Small Cap,Debt,-17.71,0.73
Stock_13,4705.56,India,Finance,Large Cap,Debt Free,-4.5,40.7
Stock_14,3784.92,USA,Finance,Small Cap,Debt Free,36.6,79.06
Stock_15,3064.32,India,Energy,Large Cap,Debt,-26.46,94.89
Stock_16,502.79,China,Healthcare,Mid Cap,Debt,26.5,-46.29
Stock_17,3278.54,Japan,Healthcare,Large Cap,Debt Free,-12.26,57.68
Stock_18,4985.23,China,Technology,Mid Cap,Debt,-27.17,34.7
Stock_19,851.92,India,Technology,Mid Cap,Debt,-10.96,72.77
Stock_20,4870.77,USA,Technology,Small Cap,Debt,30.69,16.67
Stock_21,4648.88,Japan,Consumer Goods,Mid Cap,Debt,-15.01,22.68
Stock_22,1328.11,China,Technology,Small Cap,Debt Free,10.24,34.25
Stock_23,1614.34,Japan,Healthcare,Mid Cap,Debt,-7.46,-8.55
Stock_24,1642.51,India,Healthcare,Mid Cap,Debt,48.02,9.74
Stock_25,721.0,USA,Healthcare,Small Cap,Debt Free,-17.27,47.06
Stock_26,4996.73,India,Finance,Mid Cap,Debt,-23.57,44.96
Stock_27,114.27,Japan,Consumer Goods,Mid Cap,Debt Free,7.62,-27.84
Stock_28,634.09,USA,Finance,Mid Cap,Debt,30.86,69.48
Stock_29,4631.3,India,Technology,Large Cap,Debt,10.94,24.0
Stock_30,1778.19,Japan,Technology,Small Cap,Debt Free,24.21,-4.59
Stock_31,3838.97,Japan,Healthcare,Small Cap,Debt,24.22,11.97
Stock_32,1312.37,Japan,Finance,Mid Cap,Debt Free,-0.85,91.4
Stock_33,3568.6,USA,Healthcare,Large Cap,Debt,-24.45,70.35
Stock_34,2691.67,India,Healthcare,Mid Cap,Debt Free,29.1,30.13
Stock_35,3729.74,China,Energy,Large Cap,Debt Free,24.7,26.65
Stock_36,1682.81,Japan,Technology,Mid Cap,Debt,-1.04,48.59
Stock_37,2176.32,China,Healthcare,Large Cap,Debt Free,24.96,93.78
Stock_38,126.27,China,Technology,Large Cap,Debt,-17.4,-13.99
Stock_39,2581.95,USA,Technology,Mid Cap,Debt,-25.56,2.93
Stock_40,2463.04,China,Healthcare,Mid Cap,Debt,-16.91,-17.47
